latitude,longitude,tile_x,tile_y,tile_z,road_name,Status
43.7471861,7.4316327,34120,23894,16,,
43.7471486,7.4315993,34120,23894,16,,
43.7471175,7.4315674,34120,23894,16,,
43.7470923,7.4315377,34120,23894,16,,
43.7470461,7.4314798,34120,23894,16,,
43.7469515,7.4313477,34120,23894,16,,
43.7472666,7.4318153,34120,23894,16,,
43.7472891,7.4318295,34120,23893,16,,
43.7473132,7.4318391,34120,23893,16,,
43.7473386,7.4318429,34120,23893,16,,
43.7473744,7.4318428,34120,23893,16,,
43.7474502,7.4318371,34120,23893,16,,
43.7474798,7.4318301,34120,23893,16,,
43.7475127,7.4318176,34120,23893,16,,
43.7475418,7.4318095,34120,23893,16,,
43.7478929,7.432645,34121,23893,16,,
43.7479388,7.4326178,34121,23893,16,,
43.7478433,7.4326748,34121,23893,16,,
43.7479575,7.4328095,34121,23893,16,Boulevard d'Italie,
43.748057,7.432994,34121,23893,16,Boulevard d'Italie,
43.7484416,7.4334983,34121,23893,16,Boulevard d'Italie,
43.7484952,7.433578,34121,23893,16,Boulevard d'Italie,
43.7485416,7.4336568,34121,23893,16,Boulevard d'Italie,
43.7486377,7.4338265,34121,23893,16,Boulevard d'Italie,
43.7478514,7.4325083,34121,23893,16,Boulevard d'Italie,
43.7478437,7.4324273,34121,23893,16,Boulevard d'Italie,
43.7478528,7.4323632,34121,23893,16,Boulevard d'Italie,
43.7478634,7.4323065,34121,23893,16,Boulevard d'Italie,
43.7435479,7.4297948,34120,23894,16,Boulevard du Larvotto,
43.7436427,7.429824,34120,23894,16,Boulevard du Larvotto,
43.7437367,7.4298579,34120,23894,16,Boulevard du Larvotto,
43.7438298,7.4298963,34120,23894,16,Boulevard du Larvotto,
43.7439218,7.4299393,34120,23894,16,Boulevard du Larvotto,
43.7440127,7.4299866,34120,23894,16,Boulevard du Larvotto,
43.744387,7.4301941,34120,23894,16,Boulevard du Larvotto,
43.7435108,7.4297832,34120,23894,16,Boulevard du Larvotto,
43.7433922,7.4297542,34120,23894,16,Boulevard du Larvotto,
43.7432728,7.4297327,34120,23895,16,Boulevard du Larvotto,
43.7431529,7.4297186,34120,23895,16,Boulevard du Larvotto,
43.7430326,7.429712,34120,23895,16,Boulevard du Larvotto,
43.7429122,7.4297129,34120,23895,16,Boulevard du Larvotto,
43.7427919,7.4297212,34120,23895,16,Boulevard du Larvotto,
43.7426832,7.4297337,34120,23895,16,Boulevard du Larvotto,
43.7417941,7.4298831,34120,23895,16,Boulevard du Larvotto,
43.7415887,7.4299164,34120,23895,16,Boulevard du Larvotto,
43.7413826,7.4299391,34120,23895,16,Boulevard du Larvotto,
43.741176,7.4299513,34120,23895,16,Boulevard du Larvotto,
43.7410371,7.4299521,34120,23895,16,Boulevard du Larvotto,
43.7408812,7.4299448,34120,23895,16,Boulevard du Larvotto,
43.7405561,7.4299244,34120,23895,16,Boulevard du Larvotto,
43.7402056,7.429888,34120,23895,16,Boulevard du Larvotto,
43.7414767,7.4304412,34120,23895,16,Rond-Point du Portier,
43.7415222,7.4304244,34120,23895,16,Rond-Point du Portier,
43.7415572,7.4304064,34120,23895,16,Rond-Point du Portier,
43.7415898,7.4303878,34120,23895,16,Rond-Point du Portier,
43.7416218,7.430366,34120,23895,16,Rond-Point du Portier,
43.7416568,7.4303405,34120,23895,16,Rond-Point du Portier,
43.7416943,7.4303048,34120,23895,16,Rond-Point du Portier,
43.7417281,7.4302562,34120,23895,16,Rond-Point du Portier,
43.7417484,7.430218,34120,23895,16,Rond-Point du Portier,
43.741765,7.4301626,34120,23895,16,Rond-Point du Portier,
43.7415694,7.4304621,34120,23895,16,Avenue Princesse Grace,
43.7417253,7.4305094,34120,23895,16,Avenue Princesse Grace,
43.7427422,7.4306302,34120,23895,16,Avenue Princesse Grace,
43.7428212,7.4306447,34120,23895,16,Avenue Princesse Grace,
43.7462686,7.4315599,34120,23894,16,Boulevard du Larvotto,
43.7461582,7.4313779,34120,23894,16,Boulevard du Larvotto,
43.745956,7.431116,34120,23894,16,Boulevard du Larvotto,
43.7458405,7.4309865,34120,23894,16,Boulevard du Larvotto,
43.7457188,7.4308961,34120,23894,16,Boulevard du Larvotto,
43.7463288,7.4316525,34120,23894,16,Boulevard du Larvotto,
43.7465094,7.4319668,34120,23894,16,Boulevard du Larvotto,
43.748143,7.4347588,34121,23893,16,,
43.7481775,7.4347165,34121,23893,16,,
43.7482407,7.434929,34121,23893,16,Boulevard du Larvotto,
43.7483658,7.4351422,34121,23893,16,Boulevard du Larvotto,
43.7484063,7.4352112,34121,23893,16,Boulevard du Larvotto,
43.7481075,7.4346971,34121,23893,16,Boulevard du Larvotto,
43.7479647,7.4344483,34121,23893,16,Boulevard du Larvotto,
43.7479471,7.4344177,34121,23893,16,Boulevard du Larvotto,
43.7488925,7.436239,34121,23893,16,,
43.7488592,7.436266,34121,23893,16,,
43.7489226,7.4362161,34121,23893,16,,
43.749097,7.4367064,34121,23893,16,Boulevard du Larvotto,
43.7495351,7.4377535,34122,23893,16,Boulevard du Larvotto,
43.7495838,7.4378746,34122,23893,16,Boulevard du Larvotto,
43.7496053,7.4379452,34122,23893,16,Boulevard du Larvotto,
43.7496196,7.4379979,34122,23893,16,Boulevard du Larvotto,
43.7486711,7.4357328,34121,23893,16,Boulevard du Larvotto,
43.7485686,7.4355176,34121,23893,16,Boulevard du Larvotto,
43.7485009,7.4353822,34121,23893,16,Boulevard du Larvotto,
43.7476953,7.4307478,34120,23893,16,Boulevard du Tenao,
43.747851,7.430708,34120,23893,16,Boulevard du Tenao,
43.7479142,7.4306893,34120,23893,16,Boulevard du Tenao,
43.747983,7.4306646,34120,23893,16,Boulevard du Tenao,
43.7481987,7.4305628,34120,23893,16,Boulevard du Tenao,
43.7483075,7.4305259,34120,23893,16,Boulevard du Tenao,
43.7483872,7.4305114,34120,23893,16,Boulevard du Tenao,
43.7484479,7.4305074,34120,23893,16,Boulevard du Tenao,
43.7485074,7.4305131,34120,23893,16,Boulevard du Tenao,
43.7485771,7.430525,34120,23893,16,Boulevard du Tenao,
43.7486177,7.4305381,34120,23893,16,Boulevard du Tenao,
43.7486588,7.4305615,34120,23893,16,Boulevard du Tenao,
43.7487062,7.4305981,34120,23893,16,Boulevard du Tenao,
43.748753,7.4306414,34120,23893,16,Boulevard du Tenao,
43.7487966,7.4306952,34120,23893,16,Boulevard du Tenao,
43.7488327,7.4307569,34120,23893,16,Boulevard du Tenao,
43.7488599,7.4308161,34120,23893,16,Boulevard du Tenao,
43.748888,7.4308972,34120,23893,16,Boulevard du Tenao,
43.7489054,7.4309705,34120,23893,16,Boulevard du Tenao,
43.7489149,7.4310461,34120,23893,16,Boulevard du Tenao,
43.7489161,7.4311148,34120,23893,16,Boulevard du Tenao,
43.7489123,7.4311682,34120,23893,16,Boulevard du Tenao,
43.7488845,7.4313319,34120,23893,16,Boulevard du Tenao,
43.748857,7.4314964,34120,23893,16,Boulevard du Tenao,
43.748836,7.4316348,34120,23893,16,Boulevard du Tenao,
43.7488214,7.4317927,34120,23893,16,Boulevard du Tenao,
43.7476522,7.4307524,34120,23893,16,Avenue de l'Annonciade,
43.7476253,7.4307504,34120,23893,16,Avenue de l'Annonciade,
43.7475941,7.4307466,34120,23893,16,Avenue de l'Annonciade,
43.7475668,7.4307401,34120,23893,16,Avenue de l'Annonciade,
43.7475399,7.4307266,34120,23893,16,Avenue de l'Annonciade,
43.747512,7.4307104,34120,23893,16,Avenue de l'Annonciade,
43.7480382,7.4325034,34121,23893,16,,
43.7479955,7.4325299,34121,23893,16,,
43.7480848,7.4324779,34121,23893,16,,
43.7480615,7.4325658,34121,23893,16,Lacets Saint-Léon,
43.7482464,7.4328195,34121,23893,16,Lacets Saint-Léon,
43.7482766,7.4328554,34121,23893,16,Lacets Saint-Léon,
43.7479916,7.4323475,34121,23893,16,Lacets Saint-Léon,
43.7479601,7.4322901,34121,23893,16,Lacets Saint-Léon,
43.7497821,7.4368691,34121,23893,16,Boulevard d'Italie,
43.7498418,7.4369557,34121,23893,16,Boulevard d'Italie,
43.7496694,7.4367609,34121,23893,16,Boulevard d'Italie,
43.7497924,7.4368302,34121,23893,16,Rue des Giroflées,
43.7497787,7.4367327,34121,23893,16,Rue des Giroflées,
43.7504595,7.4367151,34121,23893,16,Avenue Saint-Romain,
43.7504507,7.4366445,34121,23893,16,Avenue Saint-Romain,
43.7504613,7.4367979,34121,23893,16,Avenue Saint-Romain,
43.7504553,7.4368524,34121,23893,16,Avenue Saint-Romain,
43.750443,7.4368979,34121,23893,16,Avenue Saint-Romain,
43.7504221,7.4369295,34121,23893,16,Avenue Saint-Romain,
43.7503969,7.436942,34121,23893,16,Avenue Saint-Romain,
43.7503705,7.4369421,34121,23893,16,Avenue Saint-Romain,
43.7499395,7.4352878,34121,23893,16,Boulevard du Tenao,
43.7499097,7.435179,34121,23893,16,Boulevard du Tenao,
43.7498999,7.4350721,34121,23893,16,Boulevard du Tenao,
43.749896,7.4350298,34121,23893,16,Boulevard du Tenao,
43.7513654,7.4379117,34122,23892,16,,
43.7513227,7.4379868,34122,23892,16,,
43.7513094,7.438039,34122,23892,16,,
43.7513054,7.4380895,34122,23892,16,,
43.75131,7.4381493,34122,23892,16,,
43.7513167,7.4381908,34122,23892,16,,
43.7513515,7.4382463,34122,23892,16,,
43.7512719,7.4379692,34122,23892,16,Boulevard d'Italie,
43.7512232,7.4379857,34122,23893,16,Boulevard d'Italie,
43.7516532,7.4377482,34122,23892,16,Boulevard d'Italie,
43.7515285,7.4377938,34122,23892,16,Boulevard d'Italie,
43.7514811,7.4378163,34122,23892,16,Boulevard d'Italie,
43.7514396,7.4377502,34122,23892,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7506324,7.4366411,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7504259,7.436361,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7502228,7.4360604,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7501418,7.4359376,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7500976,7.4358585,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7500606,7.4357641,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7500268,7.4356373,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
